budget,method_a,method_b,mean_a,mean_b,mean_diff,t_stat,t_p_value,wilcoxon_stat,wilcoxon_p_value,cohens_dz,n_pairs,framework
10,tpcrp,random,0.14946666666666666,0.15646666666666667,-0.006999999999999997,-0.779495845132509,0.5172834692853993,1.0,0.5,-0.45004213601944887,3,fully_supervised
10,tpcrp,tpcrand,0.14946666666666666,0.14906666666666665,0.0004000000000000022,0.06869716129873508,0.9514809816187633,3.0,1.0,0.03966232456838784,3,fully_supervised
10,tpcrp_ccfl,tpcrp,0.165,0.14946666666666666,0.015533333333333335,5.021796643461167,0.037440699382394096,0.0,0.25,2.8993356439178637,3,fully_supervised
20,tpcrp,random,0.19096666666666665,0.17183333333333337,0.019133333333333318,5.118272001077467,0.03611736468954972,0.0,0.25,2.9550357176078,3,fully_supervised
20,tpcrp,tpcrand,0.19096666666666665,0.1741,0.01686666666666666,2.171613819084366,0.16202652177013174,0.0,0.25,1.2537818230242699,3,fully_supervised
20,tpcrp_ccfl,tpcrp,0.19616666666666668,0.19096666666666665,0.00520000000000002,1.6279171790107803,0.24508076654683245,0.0,0.25,0.9398784215202901,3,fully_supervised
50,tpcrp,random,0.23183333333333334,0.18283333333333332,0.048999999999999995,5.753964555687503,0.028901085168739838,0.0,0.25,3.3220529851337446,3,fully_supervised
50,tpcrp,tpcrand,0.23183333333333334,0.21753333333333336,0.014299999999999998,1.4341410854931749,0.287963617536306,1.0,0.5,0.8280017417653867,3,fully_supervised
50,tpcrp_ccfl,tpcrp,0.2282,0.23183333333333334,-0.0036333333333333404,-0.5306854449725161,0.6486703130128401,2.0,0.75,-0.3063913845098985,3,fully_supervised
100,tpcrp,random,0.3006333333333333,0.2563,0.044333333333333336,7.931715906690992,0.01552597210794941,0.0,0.25,4.57937831386368,3,fully_supervised
100,tpcrp,tpcrand,0.3006333333333333,0.28143333333333337,0.019199999999999978,1.6585448644988356,0.23906918395541232,1.0,0.5,0.957561323981474,3,fully_supervised
100,tpcrp_ccfl,tpcrp,0.2875666666666667,0.3006333333333333,-0.013066666666666652,-1.250903159358162,0.3374653144490566,1.0,0.5,-0.7222092757855882,3,fully_supervised
200,tpcrp,random,0.3391,0.2888,0.05029999999999999,2.216712400010486,0.1569554812081258,0.0,0.25,1.2798195008620354,3,fully_supervised
200,tpcrp,tpcrand,0.3391,0.28269999999999995,0.056400000000000006,3.276339146093542,0.08187959863214224,0.0,0.25,1.8915952879536146,3,fully_supervised
200,tpcrp_ccfl,tpcrp,0.3151,0.3391,-0.024000000000000004,-1.6548838345599235,0.23977765172081406,0.0,0.25,-0.955447627360732,3,fully_supervised
10,tpcrp,random,0.365,0.2837,0.08129999999999998,4.99381101753611,0.037837930679785046,0.0,0.25,2.883178135256592,3,semi_supervised
10,tpcrp,tpcrand,0.365,0.24586666666666668,0.11913333333333331,5.880222484422512,0.02772387942243037,0.0,0.25,3.3949480342762275,3,semi_supervised
10,tpcrp_ccfl,tpcrp,0.4328,0.365,0.06780000000000003,inf,0.0,0.0,0.25,,3,semi_supervised
20,tpcrp,random,0.5641333333333334,0.4402,0.12393333333333334,2.8083229148618574,0.10685523370801729,0.0,0.25,1.621385990866888,3,semi_supervised
20,tpcrp,tpcrand,0.5641333333333334,0.4436,0.12053333333333333,3.939430249166902,0.05880982045872325,0.0,0.25,2.2744311148102656,3,semi_supervised
20,tpcrp_ccfl,tpcrp,0.6041,0.5641333333333334,0.03996666666666667,3.0576886504460865,0.09237664176576293,0.0,0.25,1.7653573654331116,3,semi_supervised
50,tpcrp,random,0.7658999999999999,0.5727333333333333,0.1931666666666667,12.71472483256769,0.006128852104891577,0.0,0.25,7.340849804754976,3,semi_supervised
50,tpcrp,tpcrand,0.7658999999999999,0.6187333333333332,0.1471666666666667,15.381034625008718,0.00420035396334001,0.0,0.25,8.88024448116374,3,semi_supervised
50,tpcrp_ccfl,tpcrp,0.7704000000000001,0.7658999999999999,0.004499999999999986,1.3244845460535288,0.3164272179737906,1.0,0.5,0.7646915092015041,3,semi_supervised
100,tpcrp,random,0.7840666666666668,0.6786333333333333,0.10543333333333338,87.72583603302182,0.00012991530875878493,0.0,0.25,50.64853504855012,3,semi_supervised
100,tpcrp,tpcrand,0.7840666666666668,0.6991999999999999,0.08486666666666669,24.440129726020412,0.0016699522331479536,0.0,0.25,14.11051547634726,3,semi_supervised
100,tpcrp_ccfl,tpcrp,0.7883,0.7840666666666668,0.004233333333333311,0.9439053447751157,0.44485349921269707,1.0,0.5,0.5449640048954395,3,semi_supervised
200,tpcrp,random,0.7931333333333334,0.7375666666666666,0.05556666666666665,8.67300346427363,0.01303480008535424,0.0,0.25,5.007360884780938,3,semi_supervised
200,tpcrp,tpcrand,0.7931333333333334,0.7549333333333333,0.03819999999999998,5.6791856489557775,0.029633466746541135,0.0,0.25,3.2788793632024773,3,semi_supervised
200,tpcrp_ccfl,tpcrp,0.7883333333333334,0.7931333333333334,-0.004799999999999989,-1.7183085769604072,0.22787926269101091,0.0,0.25,-0.9920659194589337,3,semi_supervised
10,tpcrp,random,0.5558666666666667,0.42916666666666664,0.12670000000000003,4.456674570111895,0.04683850009191802,0.0,0.25,2.573062262744662,3,ssl_embedding
10,tpcrp,tpcrand,0.5558666666666667,0.5006666666666667,0.05520000000000003,3.044462300160579,0.093072198853574,0.0,0.25,1.7577211285353775,3,ssl_embedding
10,tpcrp_ccfl,tpcrp,0.627,0.5558666666666667,0.07113333333333331,25.599604706258578,0.0015224422136060993,0.0,0.25,14.779938668306402,3,ssl_embedding
20,tpcrp,random,0.6775000000000001,0.5756333333333333,0.10186666666666666,14.834951456310636,0.0045131515835765195,0.0,0.25,8.564963216715975,3,ssl_embedding
20,tpcrp,tpcrand,0.6775000000000001,0.6274000000000001,0.05009999999999996,2.838219439309354,0.10495605275037195,0.0,0.25,1.6386467573044843,3,ssl_embedding
20,tpcrp_ccfl,tpcrp,0.7168,0.6775000000000001,0.0393,5.219471783700568,0.034801939038538926,0.0,0.25,3.013463439347179,3,ssl_embedding
50,tpcrp,random,0.7535,0.6722666666666667,0.08123333333333334,8.558097594192802,0.013380134032720023,0.0,0.25,4.941019949758302,3,ssl_embedding
50,tpcrp,tpcrand,0.7535,0.6957,0.05780000000000004,2.0416849086721407,0.17794715934236302,0.0,0.25,1.1787673316222569,3,ssl_embedding
50,tpcrp_ccfl,tpcrp,0.7615333333333334,0.7535,0.0080333333333333,1.595606667220721,0.25163579444411505,0.0,0.25,0.9212239388406447,3,ssl_embedding
100,tpcrp,random,0.7728,0.7197999999999999,0.05300000000000001,5.442748422234721,0.03213848390656184,0.0,0.25,3.142372266708627,3,ssl_embedding
100,tpcrp,tpcrand,0.7728,0.7542333333333332,0.01856666666666666,4.749075911397173,0.041591968892268336,0.0,0.25,2.741880255847125,3,ssl_embedding
100,tpcrp_ccfl,tpcrp,0.7823666666666665,0.7728,0.009566666666666649,9.724624017653971,0.010409543038663396,0.0,0.25,5.61451429436042,3,ssl_embedding
200,tpcrp,random,0.7914,0.7581333333333333,0.03326666666666667,7.023468304753922,0.019675689841298222,0.0,0.25,4.055001316394481,3,ssl_embedding
200,tpcrp,tpcrand,0.7914,0.7795666666666667,0.011833333333333326,6.73417006167619,0.021347609732357324,0.0,0.25,3.887974897877467,3,ssl_embedding
200,tpcrp_ccfl,tpcrp,0.7881666666666667,0.7914,-0.0032333333333333103,-0.7352072306302788,0.53873804665603,2.0,0.75,-0.42447209251455076,3,ssl_embedding
